Feature,Importance
Total day minutes,0.2584198927566258
Customer service calls,0.18105669395405932
International plan_Yes,0.11951646287339675
Total eve minutes,0.0879298180701547
Total intl minutes,0.06770330187559133
Total night minutes,0.05970337805990286
Total intl calls,0.04564174422124542
Total night calls,0.04472116561647214
Total day calls,0.04370396872494753
Total eve calls,0.0407335553940746
Number vmail messages,0.030082072554041047
Voice mail plan_Yes,0.02078794589948858
